rank;rank_w;name1;name2;name3;name4;name5;score;from_url;name6;name7
1;[1];Andrei Shleifer National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/psh93.html;Andrei  Shleifer;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;1.86;http://ideas.repec.org/top/top.usa-ma.html;;;
2;[2];Robert J. Barro Department of Economics, Harvard University, Cambridge;/f/pba251.html;Robert J. Barro;Department of Economics, Harvard University;;2.48;http://ideas.repec.org/top/top.usa-ma.html;;;
3;[4];Daron Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pac16.html;Daron  Acemoglu;Economics Department, Massachusetts Institute of Technology (MIT);;2.54;http://ideas.repec.org/top/top.usa-ma.html;;;
4;[5];Kenneth S Rogoff Department of Economics, Harvard University, Cambridge;/e/pro164.html;Kenneth S Rogoff;Department of Economics, Harvard University;;5.7;http://ideas.repec.org/top/top.usa-ma.html;;;
5;[6];John Y. Campbell National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pca54.html;John Y. Campbell;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;6.7;http://ideas.repec.org/top/top.usa-ma.html;;;
6;[13];Martin S. Feldstein National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pfe112.html;Martin S. Feldstein;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;8.56;http://ideas.repec.org/top/top.usa-ma.html;;;
7;[9];Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge;/e/pre33.html;Carmen M. Reinhart;Kennedy School of Government, Harvard University;;8.63;http://ideas.repec.org/top/top.usa-ma.html;;;
8;[12];Lawrence H. Summers Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), CambridgeHarvard Business School, Harvard University, CambridgeDepartment of Economics, Harvard University, Cambridge;/e/psu137.html;Lawrence H. Summers;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);10.01;http://ideas.repec.org/top/top.usa-ma.html;Harvard Business School, Harvard University;Department of Economics, Harvard University;
9;[14];Elhanan Helpman Department of Economics, Harvard University, Cambridge;/f/phe205.html;Elhanan  Helpman;Department of Economics, Harvard University;;10.61;http://ideas.repec.org/top/top.usa-ma.html;;;
10;[15];James H. Stock Department of Economics, Harvard University, Cambridge;/e/pst148.html;James H. Stock;Department of Economics, Harvard University;;12.77;http://ideas.repec.org/top/top.usa-ma.html;;;
11;[21];Jeffrey Alexander Frankel National Bureau of Economic Research (NBER), CambridgeMossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, CambridgeCenter for International Development, Kennedy School of Government, Harvard University, Cambridge;/e/pfr12.html;Jeffrey Alexander Frankel;National Bureau of Economic Research (NBER);Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University;13.94;http://ideas.repec.org/top/top.usa-ma.html;Center for International Development, Kennedy School of Government, Harvard University;;
12;[19];N. Gregory Mankiw National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pma131.html;N. Gregory  Mankiw;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;14.37;http://ideas.repec.org/top/top.usa-ma.html;;;
13;[26];Joshua D Angrist National Bureau of Economic Research (NBER), CambridgeEconomics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pan29.html;Joshua D Angrist;National Bureau of Economic Research (NBER);Economics Department, Massachusetts Institute of Technology (MIT);16.11;http://ideas.repec.org/top/top.usa-ma.html;;;
