rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
1;[1];Department of Economics, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/deharus.html;Department of Economics, Harvard University;1.21;70;58.13;http://ideas.repec.org/top/top.usa-ma.html;
2;[2];National Bureau of Economic Research (NBER)Cambridge, Massachusetts (USA);http://edirc.repec.org/data/nberrus.html;National Bureau of Economic Research (NBER);1.47;493;86.78;http://ideas.repec.org/top/top.usa-ma.html;
3;[3];Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA);http://edirc.repec.org/data/edmitus.html;Economics Department, Massachusetts Institute of Technology (MIT);2.86;46;37.62;http://ideas.repec.org/top/top.usa-ma.html;
4;[4];Kennedy School of Government, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/ksharus.html;Kennedy School of Government, Harvard University;4.02;74;39.15;http://ideas.repec.org/top/top.usa-ma.html;
5;[5];Department of Economics, Boston UniversityBoston, Massachusetts (USA);http://edirc.repec.org/data/decbuus.html;Department of Economics, Boston University;4.79;57;50.87;http://ideas.repec.org/top/top.usa-ma.html;
6;[6];Sloan School of Management, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA);http://edirc.repec.org/data/ssmitus.html;Sloan School of Management, Massachusetts Institute of Technology (MIT);5.93;39;33.03;http://ideas.repec.org/top/top.usa-ma.html;
7;[7];Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA);http://edirc.repec.org/data/debocus.html;Department of Economics, Boston College;6.57;55;50.38;http://ideas.repec.org/top/top.usa-ma.html;
8;[8];Harvard Business School, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/harbsus.html;Harvard Business School, Harvard University;7.25;37;28.26;http://ideas.repec.org/top/top.usa-ma.html;
9;[9];Federal Reserve Bank of BostonBoston, Massachusetts (USA);http://edirc.repec.org/data/frbbous.html;Federal Reserve Bank of Boston;9.11;39;32.91;http://ideas.repec.org/top/top.usa-ma.html;
10;[10];Economics Department, Williams CollegeWilliamstown, Massachusetts (USA);http://edirc.repec.org/data/edwilus.html;Economics Department, Williams College;10.28;28;24.29;http://ideas.repec.org/top/top.usa-ma.html;
11;[11];Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA);http://edirc.repec.org/data/gsbraus.html;Department of Economics, International Business School, Brandeis University;11.08;30;25.29;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Economic Research, Federal Reserve Bank of BostonBoston, Massachusetts (USA);http://edirc.repec.org/data/efrbous.html;Economic Research, Federal Reserve Bank of Boston;11.36;26;21.88;http://ideas.repec.org/top/top.usa-ma.html;
12;[12];Department of Economics, Tufts UniversityMedford, Massachusetts (USA);http://edirc.repec.org/data/detufus.html;Department of Economics, Tufts University;12.19;21;18.41;http://ideas.repec.org/top/top.usa-ma.html;
13;[13];Wallace E. Carroll School of Management, Boston CollegeChestnut Hill, Massachusetts (USA);http://edirc.repec.org/data/smbocus.html;Wallace E. Carroll School of Management, Boston College;13.52;12;11.01;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Finance Department, Wallace E. Carroll School of Management, Boston CollegeChestnut Hill, Massachusetts (USA);http://edirc.repec.org/data/fdbocus.html;Finance Department, Wallace E. Carroll School of Management, Boston College;14.59;11;10.01;http://ideas.repec.org/top/top.usa-ma.html;
14;[14];Department of Global Health and Population, Harvard School of Public Health, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/dpharus.html;Department of Global Health and Population, Harvard School of Public Health, Harvard University;15.04;15;13.03;http://ideas.repec.org/top/top.usa-ma.html;
15;[15];Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA);http://edirc.repec.org/data/dewelus.html;Department of Economics, Wellesley College;16.17;18;15.9;http://ideas.repec.org/top/top.usa-ma.html;
16;[16];Questrom School of Business, Boston UniversityBoston, Massachusetts (USA);http://edirc.repec.org/data/sombuus.html;Questrom School of Business, Boston University;16.98;14;12.63;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Center for International Development, Kennedy School of Government, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/ciharus.html;Center for International Development, Kennedy School of Government, Harvard University;18.81;15;7.7;http://ideas.repec.org/top/top.usa-ma.html;
17;[17];John M. Olin Center for Law, Economics, and Business, Harvard School of Law, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/olharus.html;John M. Olin Center for Law, Economics, and Business, Harvard School of Law, Harvard University;21.4;5;3.91;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Institute for Economic Development, Department of Economics, Boston UniversityBoston, Massachusetts (USA);http://edirc.repec.org/data/iedbuus.html;Institute for Economic Development, Department of Economics, Boston University;21.88;4;2.02;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Business, Government and the International Economy (BGIE) Unit, Harvard Business School, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/bgharus.html;Business, Government and the International Economy (BGIE) Unit, Harvard Business School, Harvard University;22.61;3;2.04;http://ideas.repec.org/top/top.usa-ma.html;
18;[18];Center for Retirement Research (CRR), Boston CollegeChestnut Hill, Massachusetts (USA);http://edirc.repec.org/data/crrbcus.html;Center for Retirement Research (CRR), Boston College;24.1;12;7.25;http://ideas.repec.org/top/top.usa-ma.html;
